昵称,性别,地区,评论,点赞
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
昵称,性别,地区,评论,点赞
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
bili_33636763267,保密,广东,实战检验过 确实好用,111
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
Mr_影言,男,广东,正视差距,136
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
